"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ESRRG",0.7230505341121,0.317231570533171,0.455,0.574,1,"5","ESRRG"
"RETREG1",0.725244995669382,-0.36306567043517,0.182,0.228,1,"5","RETREG1"
"ARFIP1",0.726006418746056,0.866338760131997,0.091,0.142,1,"5","ARFIP1"
"PAG1",0.727812428902191,0.45934888985321,0.182,0.157,1,"5","PAG1"
"TXNDC11",0.729094557132309,-0.442719785535343,0.091,0.122,1,"5","TXNDC11"
"PACS2",0.733358558733612,0.326788530001046,0.182,0.147,1,"5","PACS2"
"IREB2",0.733513661280188,-0.501744103156499,0.091,0.127,1,"5","IREB2"
"METTL16",0.733513661280188,-0.280090037945896,0.091,0.127,1,"5","METTL16"
"FTSJ3",0.733513661280188,-0.272128058438722,0.091,0.127,1,"5","FTSJ3"
"FBXO28",0.735953872791066,-0.482649276926854,0.091,0.122,1,"5","FBXO28"
"MTCL1",0.735953872791066,-0.332373477006206,0.091,0.122,1,"5","MTCL1"
"STAT2",0.736399506095266,-0.338342945675331,0.182,0.223,1,"5","STAT2"
"NPRL3",0.738354921164923,-0.386666496334451,0.091,0.117,1,"5","NPRL3"
"HNRNPUL1",0.738354921164923,-0.501417284997949,0.091,0.117,1,"5","HNRNPUL1"
"NECTIN2",0.738354921164923,-0.391680652622605,0.091,0.117,1,"5","NECTIN2"
"CLSTN3",0.740002931054659,0.748020530831708,0.182,0.157,1,"5","CLSTN3"
"EVC",0.74000313761517,0.54638050596816,0.182,0.157,1,"5","EVC"
"SBNO2",0.74007167030137,0.551277134165134,0.182,0.162,1,"5","SBNO2"
"SMIM2-AS1",0.740183702367199,-0.33909879540748,0.273,0.208,1,"5","SMIM2-AS1"
"NRDC",0.741830342823524,0.34841089903824,0.273,0.254,1,"5","NRDC"
"HMGXB3",0.74247976073505,0.36095354655281,0.182,0.142,1,"5","HMGXB3"
"UPF3A",0.742834301969709,-0.295537517279892,0.091,0.122,1,"5","UPF3A"
"ENTPD1-AS1",0.742907406633399,-0.532987526341157,0.182,0.213,1,"5","ENTPD1-AS1"
"CTDSPL2",0.742907406633399,-0.388773421638806,0.182,0.213,1,"5","CTDSPL2"
"DGLUCY",0.743330025615974,-0.445273472951376,0.273,0.31,1,"5","DGLUCY"
"OPHN1",0.7453672879787,-0.541652342071525,0.091,0.117,1,"5","OPHN1"
"RALYL",0.7453672879787,-0.472219577484428,0.091,0.117,1,"5","RALYL"
"EMB",0.746123293758216,0.361670902770833,0.182,0.157,1,"5","EMB"
"OGDHL",0.747046197567119,-0.292441544751247,0.091,0.127,1,"5","OGDHL"
"FLOT2",0.747046197567119,-0.284523245513836,0.091,0.127,1,"5","FLOT2"
"EMCN",0.747753793867012,-0.467504616328906,0.273,0.213,1,"5","EMCN"
"SEL1L3",0.74836444977215,-0.386631026021361,0.182,0.213,1,"5","SEL1L3"
"RPL34",0.749735336408974,-0.319375942509374,0.091,0.122,1,"5","RPL34"
"AP5Z1",0.749735336408974,-0.334311487722891,0.091,0.122,1,"5","AP5Z1"
"AP2A2",0.751119402125687,-0.481793106801014,0.273,0.284,1,"5","AP2A2"
"SRRM1",0.752014405888323,0.282531441421213,0.273,0.254,1,"5","SRRM1"
"ABCC5",0.752259508331111,0.312482759898107,0.182,0.157,1,"5","ABCC5"
"FAM185A",0.75240081680065,-0.480370547109297,0.091,0.117,1,"5","FAM185A"
"DMTN",0.75240081680065,-0.354517081826735,0.091,0.117,1,"5","DMTN"
"FAM111A",0.75476201813964,0.571558917385712,0.091,0.137,1,"5","FAM111A"
"NCOA1",0.756427414770826,-0.353827364741433,0.273,0.305,1,"5","NCOA1"
"HOOK1",0.756656462899406,-0.308469510129793,0.091,0.122,1,"5","HOOK1"
"MOSMO",0.756656462899406,-0.252981927038549,0.091,0.122,1,"5","MOSMO"
"MAGI3",0.757106426810872,-0.340093899943816,0.182,0.228,1,"5","MAGI3"
"DCAF7",0.75803144615218,0.728322282985092,0.182,0.168,1,"5","DCAF7"
"EIF4B",0.759454964152269,-0.510432877808456,0.091,0.117,1,"5","EIF4B"
"ACOX1",0.759454964152269,-0.353530860481708,0.091,0.117,1,"5","ACOX1"
"CALR",0.759454964152269,-0.47351284574063,0.091,0.117,1,"5","CALR"
"PUM2",0.760434300477907,-0.459162658404583,0.364,0.376,1,"5","PUM2"
"PIK3CB",0.763268920871288,-0.361306287791846,0.182,0.223,1,"5","PIK3CB"
